date,item_id,store_id,units_sold,prediction,residual,absolute_error,sell_price,price_available,usable_elasticity,elasticity_observations,elasticity_source,recommended_price,recommended_change_pct,expected_demand,expected_revenue,absolute_price_change,current_expected_revenue,expected_revenue_lift,expected_revenue_lift_pct,pricing_action,recommendation_actionable
2016-04-25,FOODS_1_001,CA_1,2,0.8112607670832933,1.1887392329167068,1.1887392329167068,2.24,1,-1.0,2.0,Fallback,2.24,0.0,0.8112607670832933,1.8172241182665771,0.0,1.8172241182665771,0.0,0.0,Keep,False
2016-04-25,FOODS_1_002,CA_1,0,0.4502717004567795,-0.4502717004567795,0.4502717004567795,9.48,1,-1.5,4.0,Observed,8.532,-0.1,0.5273644960594452,4.4994738803791865,0.1,4.268575720330269,0.23089816004891706,0.054092553389459834,Decrease,True
2016-04-25,FOODS_1_003,CA_1,3,0.7021183864086143,2.297881613591385,2.297881613591385,3.23,1,-1.0,2.0,Fallback,3.23,0.0,0.7021183864086143,2.267842388099824,0.0,2.267842388099824,0.0,0.0,Keep,False
2016-04-25,FOODS_1_004,CA_1,0,0.0561052294482996,-0.0561052294482996,0.0561052294482996,1.96,1,-3.0,6.0,Observed,1.764,-0.1,0.07696190596474567,0.13576080212181135,0.1,0.10996624971866721,0.02579455240314414,0.23456790123456772,Decrease,True
2016-04-25,FOODS_1_005,CA_1,1,1.291144162610453,-0.2911441626104529,0.2911441626104529,3.54,1,-1.0,0.0,Fallback,3.54,0.0,1.291144162610453,4.5706503356410035,0.0,4.5706503356410035,0.0,0.0,Keep,False
2016-04-25,FOODS_1_006,CA_1,1,1.6366489499488952,-0.6366489499488952,0.6366489499488952,2.48,1,-3.0,4.0,Observed,2.232,-0.1,2.24506028799574,5.010974562806493,0.1,4.05888939587326,0.9520851669332329,0.23456790123456767,Decrease,True
2016-04-25,FOODS_1_008,CA_1,0,0.189535976349439,-0.189535976349439,0.189535976349439,3.54,1,-1.0,0.0,Fallback,3.54,0.0,0.189535976349439,0.670957356277014,0.0,0.670957356277014,0.0,0.0,Keep,False
2016-04-25,FOODS_1_009,CA_1,0,0.0168993343842862,-0.0168993343842862,0.0168993343842862,2.24,1,-2.5,6.0,Observed,2.0160000000000005,-0.1,0.021991929051499416,0.044335728967822834,0.1,0.03785450902080109,0.006481219947021742,0.17121394821051053,Decrease,True
2016-04-25,FOODS_1_010,CA_1,0,0.2970856183975888,-0.2970856183975888,0.2970856183975888,5.64,1,-1.0,5.0,Fallback,5.64,0.0,0.2970856183975888,1.6755628877624007,0.0,1.6755628877624007,0.0,0.0,Keep,False
2016-04-25,FOODS_1_011,CA_1,2,1.116197805484772,0.8838021945152281,0.8838021945152281,2.68,1,-1.0,1.0,Fallback,2.68,0.0,1.116197805484772,2.9914101186991893,0.0,2.9914101186991893,0.0,0.0,Keep,False
2016-04-25,FOODS_1_012,CA_1,3,2.8006685231364394,0.1993314768635605,0.1993314768635605,5.64,1,-1.0,4.0,Fallback,5.64,0.0,2.8006685231364394,15.795770470489517,0.0,15.795770470489517,0.0,0.0,Keep,False
2016-04-25,FOODS_1_013,CA_1,0,2.4572374075223187,-2.4572374075223187,2.4572374075223187,1.5,1,-1.0,2.0,Fallback,1.5,0.0,2.4572374075223187,3.685856111283478,0.0,3.685856111283478,0.0,0.0,Keep,False
2016-04-25,FOODS_1_014,CA_1,2,1.2468273192215538,0.7531726807784462,0.7531726807784462,0.98,1,-1.0,0.0,Fallback,0.98,0.0,1.2468273192215538,1.2218907728371227,0.0,1.2218907728371227,0.0,0.0,Keep,False
2016-04-25,FOODS_1_015,CA_1,0,0.6325411577556199,-0.6325411577556199,0.6325411577556199,3.48,1,-1.8714285714285706,6.0,Observed,3.132,-0.1,0.770407787900168,2.4129171917033263,0.1,2.2012432289895574,0.21167396271376893,0.09616109656856693,Decrease,True
2016-04-25,FOODS_1_016,CA_1,2,0.8805155281493396,1.1194844718506602,1.1194844718506602,2.26,1,-1.0,2.0,Fallback,2.26,0.0,0.8805155281493396,1.9899650936175075,0.0,1.9899650936175075,0.0,0.0,Keep,False
2016-04-25,FOODS_1_017,CA_1,2,0.9733997868652444,1.0266002131347558,1.0266002131347558,2.24,1,-3.0,6.0,Observed,2.0160000000000005,-0.1,1.335253479924889,2.6918710155285765,0.1,2.180415522578148,0.5114554929504287,0.23456790123456742,Decrease,True
2016-04-25,FOODS_1_018,CA_1,9,9.136672765944317,-0.1366727659443167,0.1366727659443167,0.98,1,-1.0,1.0,Fallback,0.98,0.0,9.136672765944317,8.95393931062543,0.0,8.95393931062543,0.0,0.0,Keep,False
2016-04-25,FOODS_1_019,CA_1,2,8.63616119530922,-6.636161195309221,6.636161195309221,0.98,1,-1.0,2.0,Fallback,0.98,0.0,8.63616119530922,8.463437971403037,0.0,8.463437971403037,0.0,0.0,Keep,False
2016-04-25,FOODS_1_020,CA_1,1,1.066984477729127,-0.066984477729127,0.066984477729127,2.68,1,-1.0,2.0,Fallback,2.68,0.0,1.066984477729127,2.8595184003140606,0.0,2.8595184003140606,0.0,0.0,Keep,False
2016-04-25,FOODS_1_021,CA_1,0,1.566866067853516,-1.566866067853516,1.566866067853516,0.98,1,-1.0,0.0,Fallback,0.98,0.0,1.566866067853516,1.5355287464964456,0.0,1.5355287464964456,0.0,0.0,Keep,False
2016-04-25,FOODS_1_022,CA_1,0,0.1084944006854808,-0.1084944006854808,0.1084944006854808,4.84,1,-1.0,4.0,Fallback,4.84,0.0,0.1084944006854808,0.5251128993177271,0.0,0.5251128993177271,0.0,0.0,Keep,False
2016-04-25,FOODS_1_023,CA_1,7,0.3526220165793903,6.6473779834206095,6.6473779834206095,5.64,1,-1.0,3.0,Fallback,5.64,0.0,0.3526220165793903,1.988788173507761,0.0,1.988788173507761,0.0,0.0,Keep,False
2016-04-25,FOODS_1_024,CA_1,1,0.2410697321811906,0.7589302678188093,0.7589302678188093,4.86,1,-1.0,3.0,Fallback,4.86,0.0,0.2410697321811906,1.1715988984005863,0.0,1.1715988984005863,0.0,0.0,Keep,False
2016-04-25,FOODS_1_025,CA_1,0,0.643896130072135,-0.643896130072135,0.643896130072135,4.27,1,-1.0,2.0,Fallback,4.27,0.0,0.643896130072135,2.7494364754080163,0.0,2.7494364754080163,0.0,0.0,Keep,False
2016-04-25,FOODS_1_026,CA_1,0,0.6021223559350398,-0.6021223559350398,0.6021223559350398,6.98,1,-1.0,1.0,Fallback,6.98,0.0,0.6021223559350398,4.202814044426578,0.0,4.202814044426578,0.0,0.0,Keep,False
2016-04-25,FOODS_1_027,CA_1,1,2.2662549249843287,-1.266254924984329,1.266254924984329,1.96,1,-1.0,2.0,Fallback,1.96,0.0,2.2662549249843287,4.441859652969284,0.0,4.441859652969284,0.0,0.0,Keep,False
2016-04-25,FOODS_1_028,CA_1,3,0.7224310483103085,2.2775689516896915,2.2775689516896915,2.98,1,-1.5,4.0,Observed,2.682,-0.1,0.8461213204013747,2.2692973813164867,0.1,2.152844523964719,0.11645285735176758,0.05409255338945973,Decrease,True
2016-04-25,FOODS_1_029,CA_1,0,0.3927012397730471,-0.3927012397730471,0.3927012397730471,4.27,1,-1.0,2.0,Fallback,4.27,0.0,0.3927012397730471,1.6768342938309109,0.0,1.6768342938309109,0.0,0.0,Keep,False
2016-04-25,FOODS_1_030,CA_1,0,0.7050888869625332,-0.7050888869625332,0.7050888869625332,3.48,1,-2.5,6.0,Observed,3.132,-0.1,0.9175665990430478,2.873818588202826,0.1,2.4537093266296157,0.42010926157321027,0.17121394821051075,Decrease,True
2016-04-25,FOODS_1_031,CA_1,1,1.0487332402466267,-0.0487332402466267,0.0487332402466267,3.54,1,-1.0,1.0,Fallback,3.54,0.0,1.0487332402466267,3.7125156704730586,0.0,3.7125156704730586,0.0,0.0,Keep,False
2016-04-25,FOODS_1_032,CA_1,0,1.9111745128303583,-1.9111745128303583,1.9111745128303583,0.98,1,-1.0,1.0,Fallback,0.98,0.0,1.9111745128303583,1.8729510225737511,0.0,1.8729510225737511,0.0,0.0,Keep,False
2016-04-25,FOODS_1_033,CA_1,0,0.7118633211370204,-0.7118633211370204,0.7118633211370204,5.64,1,-1.0,2.0,Fallback,5.64,0.0,0.7118633211370204,4.014909131212795,0.0,4.014909131212795,0.0,0.0,Keep,False
2016-04-25,FOODS_1_034,CA_1,0,0.1606254695485598,-0.1606254695485598,0.1606254695485598,5.14,1,-2.217777777777777,7.0,Observed,4.6259999999999994,-0.1,0.20290575074514006,0.9386420029470178,0.1,0.8256149134795974,0.11302708946742046,0.13690049394948775,Decrease,True
2016-04-25,FOODS_1_035,CA_1,0,1.5748625610776432,-1.5748625610776432,1.5748625610776432,2.68,1,-1.0,3.0,Fallback,2.68,0.0,1.5748625610776432,4.220631663688084,0.0,4.220631663688084,0.0,0.0,Keep,False
2016-04-25,FOODS_1_036,CA_1,3,2.3966049540209178,0.6033950459790822,0.6033950459790822,1.78,1,-3.0,4.0,Observed,1.602,-0.1,3.2875239424155245,5.26661335574967,0.1,4.265956818157234,1.0006565375924366,0.23456790123456767,Decrease,True
2016-04-25,FOODS_1_037,CA_1,4,1.4655225271863808,2.5344774728136192,2.5344774728136192,3.48,1,-1.0,3.0,Fallback,3.48,0.0,1.4655225271863808,5.100018394608605,0.0,5.100018394608605,0.0,0.0,Keep,False
2016-04-25,FOODS_1_038,CA_1,0,0.5998435308295124,-0.5998435308295124,0.5998435308295124,9.94,1,-1.0,6.0,Fallback,9.94,0.0,0.5998435308295124,5.962444696445353,0.0,5.962444696445353,0.0,0.0,Keep,False
